ticker,qty,market_value,unrealized_pl
COIN,835,124465.10,-95879.43
TONX,1300,3471.00,-5462.28
ACN,39,4862.91,-4699.74
PYPL,185,8177.00,-3836.39
ADBE,28,5768.56,-2997.55
NKE,115,4784.00,-2990.66
MSFT,33,12200.10,-1154.47
META,18,10129.68,-1095.46
COUR,600,3408.00,-972.01
CAG,200,2808.00,-915.14
ARE,30,1653.60,-900.60
ORCL,13,1942.33,-823.89
LYFT,150,2281.50,-791.25
EPAM,10,800.30,-671.20
FIS,20,773.80,-601.40
ESTC,20,1139.00,-575.40
CMCSA,150,3645.00,-481.11
PEP,43,5958.51,-354.81
HIMS,50,1652.00,-341.35
GIS,30,1098.60,-331.20
DLB,15,781.80,-287.40
CVNA,15,956.40,-246.12
KHC,175,4235.00,-197.70
CRCL,70,5232.50,-46.90
MSCI,5,2790.00,-34.00
VSNT,6,216.72,-21.11
BTC,0.0337731,1997.99,-5.60
SOFI,75,1363.50,-0.89
VXUS,15,1275.00,0.00
ROBO,15,1251.00,4.65
CRM,10,1579.90,11.10
GSY,100,5015.00,13.10
PFE,200,4878.00,69.75
BRK-B,9,4463.46,85.97
O,20,1254.00,121.26
SPLV,10,752.50,124.60
CVX,15,2524.50,160.55
LNG,5,1215.00,186.59
IBKR,2.8856,254.39,197.46
KO,15,1240.50,228.90
XOM,10,1358.30,237.80
SCHD,50,1597.50,268.00
VTR,15,1331.70,301.44
VWO,115,6805.70,305.31
BMY,25,1463.25,373.31
AMD,1,537.15,381.27
KVUE,100,1907.00,401.00
DDOG,5,1240.00,434.10
JACK,80,1467.20,437.44
XLI,15,2745.00,460.50
AMZN,16,3844.80,465.59
AAL,100,1783.00,548.23
TXN,5,1425.80,551.25
HRMY,70,2485.00,568.50
AVGO,17,6358.00,603.43
VHT,14,4234.02,742.88
PSLV,115,2143.60,799.09
ENOR,100,3145.00,889.00
QCOM,39,7410.00,1028.91
RDDT,30,5232.00,1104.00
ILF,160,5414.40,1822.64
INTC,20,2626.60,1900.95
XLE,208,11138.40,1950.29
EWZ,278,9629.92,2177.57
ASML,2,3800.80,2184.42
OUST,80,4229.60,2300.00
HOOD,108,11009.62,2459.92
GDX,70,5281.50,2717.89
RSP,59,12520.98,3251.66
VEA,165,11686.95,3323.32
URNM,431.1294,22802.43,4986.13
TSLA,47,19173.65,5093.43
PHYS,511,15483.30,5352.65
VOO,41,27932.89,7301.58
GOOG,43,15089.99,7420.20
MRVL,75,20834.25,14341.17
NEM,493,46435.67,25350.25
